id,symbol,name,image,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,total_supply,max_supply,ath_date,atl_date,last_updated,day_update
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,5330694864,22,93720769,0.00108802,5329491643.43297,,2020-03-13T03:02:50.373Z,2023-03-11 07:50:50.514000+00:00,2024-09-20 14:54:23.963000+00:00,Friday
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,6.77,5100995111,23,215437026,-0.01616693260479085,1000000000.0,1000000000.0,2021-05-03T05:25:04.822Z,2020-09-17 01:20:38.214000+00:00,2024-09-20 14:54:20.490000+00:00,Friday
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,65.24,4896483483,24,340534690,0.114255,84000000.0,84000000.0,2021-05-10T03:13:07.904Z,2015-01-14 00:00:00+00:00,2024-09-20 14:54:18.180000+00:00,Friday
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,4.4,4876910586,25,433371335,-0.060282719621889136,1183246170.6779,,2022-01-16T22:09:45.873Z,2020-11-04 16:09:15.137000+00:00,2024-09-20 14:54:17.520000+00:00,Friday
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2677.67,4233870834,26,54307050,137.25,1579883.35740433,,2024-03-13T08:29:59.938Z,2024-01-08 03:35:28.624000+00:00,2024-09-20 14:54:20.466000+00:00,Friday
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.169377,4192092036,27,62722002,-0.004100869253772316,24745134033.8051,28704026601.0,2024-08-01T00:40:47.164Z,2022-05-26 14:42:59.316000+00:00,2024-09-20 14:54:25.206000+00:00,Friday
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,1.6,4023778025,28,513661243,0.070952,2630547141.0,2630547141.0,2024-03-28T17:21:18.050Z,2020-03-13 02:24:18.347000+00:00,2024-09-20 14:54:24.999000+00:00,Friday
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,8.41,3964857784,30,130883616,0.295594,523433714.107412,,2021-05-10T16:05:53.653Z,2023-09-22 00:29:57.369000+00:00,2024-09-20 14:54:25.826000+00:00,Friday
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,1.47,3934724732,29,792604478,0.136127,10000000000.0,10000000000.0,2024-03-27T17:46:02.608Z,2023-10-19 10:40:30.078000+00:00,2024-09-20 14:54:19.172000+00:00,Friday
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,7.19,3597055945,31,295325091,0.580403,1116882628.16029,,2023-01-26T14:25:17.390Z,2022-12-29 21:35:14.796000+00:00,2024-09-20 14:54:22.164000+00:00,Friday
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,8.15e-06,3429396948,32,1733556282,1.82719e-07,420690000000000.0,420690000000000.0,2024-05-27T08:30:07.709Z,2023-04-18 02:14:41.591000+00:00,2024-09-20 14:54:27.266000+00:00,Friday
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,177.58,3275224423,33,72231576,3.5,18446744.0737096,,2018-01-09T00:00:00.000Z,2015-01-14 00:00:00+00:00,2024-09-20 14:54:26.123000+00:00,Friday
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,414.19,3065080811,34,217185559,44.43,21000000.0,21000000.0,2024-03-07T18:45:36.466Z,2023-05-14 08:57:53.732000+00:00,2024-09-20 14:54:22.327000+00:00,Friday
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,1.003,2949912771,35,506302551,0.0093533,2931366071.86,,2024-05-20T19:42:15.377Z,2023-08-17 21:55:41.478000+00:00,2024-09-20 14:54:16.041000+00:00,Friday
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.400103,2904264040,36,86167559,0.00258744,10259155118.4868,,2024-03-13T18:55:06.692Z,2024-08-05 06:45:46.141000+00:00,2024-09-20 14:53:21.237000+00:00,Friday
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.096655,2862975502,37,66072032,0.00112088,50001786939.4485,50001786939.4485,2018-01-03T00:00:00.000Z,2015-03-05 00:00:00+00:00,2024-09-20 14:54:19.455000+00:00,Friday
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,18.86,2807240264,38,172661144,0.238476,210700000.0,210700000.0,2021-05-06T18:34:22.133Z,2016-07-25 00:00:00+00:00,2024-09-20 14:54:16.154000+00:00,Friday
blockstack,stx,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,1.76,2617722282,39,144008397,0.064297,1818000000.0,1818000000.0,2024-04-01T12:34:58.342Z,2020-03-13 02:29:26.415000+00:00,2024-09-20 14:54:24.692000+00:00,Friday
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/USDE.png?1716355685,0.99843,2589087821,40,56734920,0.00040759,2592092496.36683,,2023-12-20T15:38:34.596Z,2024-04-13 20:11:19.603000+00:00,2024-09-20 14:54:24.215000+00:00,Friday
immutable-x,imx,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.59,2550498596,41,109493261,0.115948,2000000000.0,2000000000.0,2021-11-26T01:03:01.536Z,2022-12-31 07:36:37.649000+00:00,2024-09-20 14:54:25.648000+00:00,Friday
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,39.28,2364520263,42,9849096,-0.6208686519103708,235957685.3,300000000.0,2024-03-14T00:30:12.502Z,2019-01-14 00:00:00+00:00,2024-09-20 14:54:27.387000+00:00,Friday
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,152.41,2276257693,43,362614882,4.09,16000000.0,16000000.0,2021-05-18T21:19:59.514Z,2020-11-05 09:20:11.928000+00:00,2024-09-20 14:54:25.019000+00:00,Friday
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.083807,2262400517,44,7977696,0.00094199,30000000000.0,,2021-11-24T15:53:54.855Z,2019-02-08 00:00:00+00:00,2024-09-20 14:54:24.365000+00:00,Friday
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,3.74,2195622583,45,183984570,0.06509,1959959412.0,1959959412.0,2021-04-01T13:29:41.564Z,2022-12-16 22:45:28.552000+00:00,2024-09-20 14:54:24.508000+00:00,Friday
arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.573685,2076436896,46,309089508,0.01358714,10000000000.0,10000000000.0,2024-01-12T12:29:59.231Z,2024-08-05 11:35:54.024000+00:00,2024-09-20 14:54:22.401000+00:00,Friday
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,5.23,2054591236,47,371744834,0.059939,532219654.735492,,2024-03-17T16:30:24.636Z,2020-06-16 13:22:25.900000+00:00,2024-09-20 14:54:27.412000+00:00,Friday
injective-protocol,inj,Injective,https://coin-images.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,20.68,2020874797,48,136875612,0.075531,100000000.0,,2024-03-14T15:06:22.124Z,2020-11-03 16:19:30.576000+00:00,2024-09-20 14:54:26.720000+00:00,Friday
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.609784,1994507526,49,106817270,0.01826509,6219316794.99,6219316794.99,2024-04-08T09:45:25.482Z,2023-10-18 02:50:46.942000+00:00,2024-09-20 14:54:25.933000+00:00,Friday
optimism,op,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.67,1985029808,50,215086684,0.091419,4294967296.0,4294967296.0,2024-03-06T08:35:50.817Z,2022-06-18 20:54:52.178000+00:00,2024-09-20 14:54:26.784000+00:00,Friday
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.052263,1932697731,51,65714952,0.00029368,50000000000.0,50000000000.0,2021-09-15T10:40:28.318Z,2020-01-02 17:30:24.852000+00:00,2024-09-20 14:54:24.948000+00:00,Friday
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.02357772,1909442256,52,50476305,0.00120567,85985041177.0,86712634466.0,2021-04-19T01:08:21.675Z,2020-03-13 02:29:59.652000+00:00,2024-09-20 14:54:23.200000+00:00,Friday
fantom,ftm,Fantom,https://coin-images.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.660083,1842190915,53,469533755,0.03047347,3175000000.0,3175000000.0,2021-10-28T05:19:39.845Z,2020-03-13 02:25:38.280000+00:00,2024-09-20 14:54:26.352000+00:00,Friday
dogwifcoin,wif,dogwifhat,https://coin-images.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,1.78,1783071008,54,671748887,0.06249,998926392.0,998926392.0,2024-03-31T09:34:58.366Z,2023-12-13 07:13:50.873000+00:00,2024-09-20 14:54:24.488000+00:00,Friday
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.55,1778323635,55,151021852,0.04302688,390930035.085365,,2022-01-17T00:34:41.497Z,2020-03-13 02:27:44.591000+00:00,2024-09-20 14:54:24.616000+00:00,Friday
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,11.33,1633238430,56,4170108,0.1118,344479017.0,400000000.0,2022-10-28T12:32:18.119Z,2023-02-13 19:01:21.899000+00:00,2024-09-20 14:54:19.579000+00:00,Friday
binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,2552.92,1544074761,57,47024994,125.95,604999.999959841,,2024-08-24T16:52:46.091Z,2024-09-06 21:02:52.910000+00:00,2024-09-20 14:54:20.219000+00:00,Friday
the-graph,grt,The Graph,https://coin-images.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.159525,1524433188,58,68134149,0.00484069,10788004319.0,10788004319.0,2021-02-12T07:28:45.775Z,2022-11-22 10:05:03.503000+00:00,2024-09-20 14:54:19.174000+00:00,Friday
thorchain,rune,THORChain,https://coin-images.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,4.42,1483667353,59,225609533,-0.09291036791245588,413827132.0,500000000.0,2021-05-19T00:30:09.436Z,2019-09-28 00:00:00+00:00,2024-09-20 14:54:22.379000+00:00,Friday
rocket-pool-eth,reth,Rocket Pool ETH,https://coin-images.coingecko.com/coins/images/20764/large/reth.png?1696520159,2856.35,1404142440,60,3300207,141.76,491296.287305824,,2021-12-01T08:03:50.749Z,2022-06-18 20:55:45.957000+00:00,2024-09-20 14:54:27.508000+00:00,Friday
theta-token,theta,Theta Network,https://coin-images.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,1.39,1394486160,61,25573514,0.00520679,1000000000.0,1000000000.0,2021-04-16T13:15:11.190Z,2020-03-13 02:24:16.483000+00:00,2024-09-20 14:54:20.255000+00:00,Friday
maker,mkr,Maker,https://coin-images.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,1551.08,1370196357,62,104824722,5.75,926942.543795008,1005577.0,2021-05-03T21:54:29.333Z,2020-03-16 20:52:36.527000+00:00,2024-09-20 14:54:26.102000+00:00,Friday
arweave,ar,Arweave,https://coin-images.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1696504946,20.31,1328043446,63,100088007,0.079288,65454185.5381511,66000000.0,2021-11-05T04:14:42.689Z,2020-01-31 06:47:36.543000+00:00,2024-09-20 14:54:23.527000+00:00,Friday
solv-btc,solvbtc,Solv Protocol SolvBTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,63161.0,1305833031,64,1627478,141.23,20668.1424525711,21000000.0,2024-06-05T16:15:24.629Z,2024-08-05 06:28:45.311000+00:00,2024-09-20 14:54:15.321000+00:00,Friday
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/icon_colour.png?1696511504,0.924856,1296679499,65,24756911,-0.012690630168282204,2000000000.0,2000000000.0,2024-06-01T03:50:55.951Z,2020-06-25 04:17:05.895000+00:00,2024-09-20 14:54:26.846000+00:00,Friday
floki,floki,FLOKI,https://coin-images.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,0.00013357,1296170895,67,329428818,-6.42231347754e-07,10000000000000.0,10000000000000.0,2024-06-05T07:25:59.137Z,2021-07-06 01:11:20.438000+00:00,2024-09-20 14:54:25.952000+00:00,Friday
mantle-staked-ether,meth,Mantle Staked Ether,https://coin-images.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,2657.74,1291525289,66,10227489,126.78,485945.692344907,,2024-03-27T05:26:27.333Z,2023-12-18 10:41:32.686000+00:00,2024-09-20 14:54:27.203000+00:00,Friday
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,5.94,1265123783,68,205723090,-0.289098288791549,1071232876.71207,,2024-02-10T14:30:02.495Z,2023-10-31 15:14:31.951000+00:00,2024-09-20 14:54:22.992000+00:00,Friday
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,1.812e-05,1251621162,69,196347219,6.42181e-07,93526183276778.0,93526183276778.0,2024-03-04T17:05:29.594Z,2022-12-29 22:48:46.755000+00:00,2024-09-20 14:54:22.892000+00:00,Friday
sei-network,sei,Sei,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.348741,1235543989,70,270822184,0.01390089,10000000000.0,,2024-03-16T02:30:23.904Z,2023-10-19 08:05:30.655000+00:00,2024-09-20 14:54:27.518000+00:00,Friday
matic-network,matic,Polygon,https://coin-images.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.399143,1198185491,71,7822910,0.0021073,10000000000.0,10000000000.0,2021-12-27T02:08:34.307Z,2019-05-10 00:00:00+00:00,2024-09-20 14:54:27.032000+00:00,Friday
helium,hnt,Helium,https://coin-images.coingecko.com/coins/images/4284/large/Helium_HNT.png?1696504894,6.93,1181391969,72,22002223,-0.24803822888519633,223000000.0,223000000.0,2021-11-12T23:08:25.301Z,2020-04-18 00:19:10.902000+00:00,2024-09-20 14:54:24.909000+00:00,Friday
pyth-network,pyth,Pyth Network,https://coin-images.coingecko.com/coins/images/31924/large/pyth.png?1701245725,0.31894,1157829004,73,48960921,0.00392857,10000000000.0,10000000000.0,2024-03-16T07:01:15.357Z,2024-08-05 11:30:50.894000+00:00,2024-09-20 14:54:26.898000+00:00,Friday
jupiter-exchange-solana,jup,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0.846358,1143988534,74,205917014,0.04170323,10000000000.0,10000000000.0,2024-01-31T15:02:47.304Z,2024-02-21 18:31:05.083000+00:00,2024-09-20 14:54:26.383000+00:00,Friday
quant-network,qnt,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,76.61,1114001986,75,22518552,3.19,14612493.0,14612493.0,2021-09-11T09:15:00.668Z,2018-08-23 00:00:00+00:00,2024-09-20 14:54:18.445000+00:00,Friday
algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.132926,1098148645,76,50201326,0.00145588,8256081292.60432,10000000000.0,2019-06-20T14:51:19.480Z,2023-09-11 19:42:08.247000+00:00,2024-09-20 14:54:22.001000+00:00,Friday
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/gate.png?1696508395,8.46,1083442942,77,1706096,0.138298,300000000.0,,2021-05-12T11:39:16.531Z,2020-03-13 02:18:02.481000+00:00,2024-09-20 14:54:24.946000+00:00,Friday
jasmycoin,jasmy,JasmyCoin,https://coin-images.coingecko.com/coins/images/13876/large/JASMY200x200.jpg?1696513620,0.0209908,1016720805,78,95677359,0.00024303,50000000000.0,50000000000.0,2021-02-16T03:53:32.207Z,2022-12-29 20:41:09.113000+00:00,2024-09-20 14:54:17.536000+00:00,Friday
lido-dao,ldo,Lido DAO,https://coin-images.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,1.11,993456011,80,200219109,0.0693,1000000000.0,1000000000.0,2021-08-20T08:35:20.158Z,2022-06-18 20:55:12.035000+00:00,2024-09-20 14:54:25.793000+00:00,Friday
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.685394,990804309,79,489499877,0.03034611,10000000000.0,10000000000.0,2024-06-03T08:29:55.744Z,2024-01-18 12:14:30.524000+00:00,2024-09-20 14:54:27.104000+00:00,Friday
coredaoorg,core,Core,https://coin-images.coingecko.com/coins/images/28938/large/file_589.jpg?1701868471,1.064,968901185,81,88552537,0.079915,2100000000.0,2100000000.0,2023-02-08T12:55:39.828Z,2023-11-03 01:20:55.441000+00:00,2024-09-20 14:54:23.735000+00:00,Friday
bitcoin-cash-sv,bsv,Bitcoin SV,https://coin-images.coingecko.com/coins/images/6799/large/BSV.png?1696507128,48.63,962292651,82,20390674,0.176461,21000000.0,21000000.0,2021-04-16T17:09:04.630Z,2023-06-10 04:32:12.266000+00:00,2024-09-20 14:54:22.652000+00:00,Friday
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,1.13,949628270,83,41036754,0.02420965,888888888.0,888888888.0,2024-07-21T23:11:14.036Z,2023-10-12 17:25:09.068000+00:00,2024-09-20 14:54:26.989000+00:00,Friday
renzo-restaked-eth,ezeth,Renzo Restaked ETH,https://coin-images.coingecko.com/coins/images/34753/large/Ezeth_logo_circle.png?1713496404,2599.97,946881481,84,18247663,128.1,363567.324361129,,2024-03-12T00:44:29.429Z,2024-01-26 08:09:59.848000+00:00,2024-09-20 14:54:27.633000+00:00,Friday
ronin-bridged-weth-ronin,weth,Ronin Bridged WETH (Ronin),https://coin-images.coingecko.com/coins/images/39716/large/WETH.PNG?1723731945,2554.84,921732014,85,1082410,129.67,360699.586558314,,2024-08-24T17:07:47.789Z,2024-09-06 20:55:57.053000+00:00,2024-09-20 14:54:18.234000+00:00,Friday
popcat,popcat,Popcat,https://coin-images.coingecko.com/coins/images/33760/large/image.jpg?1702964227,0.912655,894467555,86,124450740,0.01691846,979978669.96,979978694.0,2024-07-21T15:05:39.577Z,2024-01-05 15:34:24.842000+00:00,2024-09-20 14:53:49.537000+00:00,Friday
kucoin-shares,kcs,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,7.55,890057655,87,73362,0.124732,142906971.288477,,2021-12-01T15:09:35.541Z,2019-02-07 00:00:00+00:00,2024-09-20 14:54:25.574000+00:00,Friday
flow,flow,Flow,https://coin-images.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1696513210,0.576002,885236369,88,29622701,0.00992568,1533206949.06707,,2021-04-05T13:49:10.098Z,2023-09-11 19:41:06.528000+00:00,2024-09-20 14:54:24.746000+00:00,Friday
bittorrent,btt,BitTorrent,https://coin-images.coingecko.com/coins/images/22457/large/btt_logo.png?1696521780,9.00864e-07,873024083,89,32192013,7.486e-09,990000000000000.0,990000000000000.0,2022-01-21T04:00:31.909Z,2023-10-13 05:10:41.241000+00:00,2024-09-20 14:54:23.371000+00:00,Friday
ether-fi-staked-eth,eeth,ether.fi Staked ETH,https://coin-images.coingecko.com/coins/images/33049/large/ether.fi_eETH.png?1700473063,2548.22,850044126,90,96688,118.89,1990054.25766057,,2024-08-06T16:16:30.007Z,2024-02-08 11:26:30.368000+00:00,2024-09-20 14:54:24.424000+00:00,Friday
beam-2,beam,Beam,https://coin-images.coingecko.com/coins/images/32417/large/chain-logo.png?1698114384,0.01629372,832472154,91,35936470,-0.000712181374769524,62434008330.0,62434008330.0,2024-03-10T10:40:22.381Z,2023-10-29 08:20:14.064000+00:00,2024-09-20 14:54:25.115000+00:00,Friday
based-brett,brett,Brett,https://coin-images.coingecko.com/coins/images/35529/large/1000050750.png?1709031995,0.082296,816696704,92,38328561,-0.00039495388022992,9910168325.92476,9999998988.0,2024-06-09T12:55:51.835Z,2024-02-29 08:40:24.951000+00:00,2024-09-20 14:54:22.230000+00:00,Friday
notcoin,not,Notcoin,https://coin-images.coingecko.com/coins/images/33453/large/rFmThDiD_400x400.jpg?1701876350,0.00773946,794189568,93,187252635,-2.2039487231327e-05,102474422638.643,,2024-06-02T18:00:38.587Z,2024-05-24 07:12:14.147000+00:00,2024-09-20 14:54:27.553000+00:00,Friday
