start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location_description,location_code,url,date
2024-07-29 11:12:00+02:00,2024-07-29 11:18:00+02:00,2024-07-29,FINISHED,Judo,JUD,Men -73 kg,0,Men -73 kg Elimination Round of 32,M,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 2,JU2,/en/paris-2024/results/judo/men--73-kg/r32-001500--,2024-07-29
2024-07-29 11:13:00+02:00,2024-07-29 11:27:00+02:00,2024-07-29,FINISHED,Swimming,SWM,Women's 100m Backstroke,0,Women's 100m Backstroke - Heats,W,ATH,Paris La Defense Arena,DEF,Paris La Defense Arena,DEF,/en/paris-2024/results/swimming/women-s-100m-backstroke/heat--------,2024-07-29
2024-07-29 11:15:00+02:00,2024-07-29 11:40:00+02:00,2024-07-29,FINISHED,Fencing,FEN,Women's Sabre Individual,0,Women's Sabre Individual Table of 32,W,HATH,Grand Palais,GRP,Grand Palais - Blue Piste,FEB,/en/paris-2024/results/fencing/women-s-sabre-individual/r32-000300--,2024-07-29
2024-07-29 11:15:00+02:00,2024-07-29 11:40:00+02:00,2024-07-29,FINISHED,Fencing,FEN,Women's Sabre Individual,0,Women's Sabre Individual Table of 32,W,HATH,Grand Palais,GRP,Grand Palais - Yellow Piste,FEY,/en/paris-2024/results/fencing/women-s-sabre-individual/r32-000700--,2024-07-29
2024-07-29 11:15:00+02:00,2024-07-29 11:40:00+02:00,2024-07-29,FINISHED,Fencing,FEN,Women's Sabre Individual,0,Women's Sabre Individual Table of 32,W,HATH,Grand Palais,GRP,Grand Palais - Green Piste,FEG,/en/paris-2024/results/fencing/women-s-sabre-individual/r32-001100--,2024-07-29
2024-07-29 11:15:00+02:00,2024-07-29 11:40:00+02:00,2024-07-29,FINISHED,Fencing,FEN,Women's Sabre Individual,0,Women's Sabre Individual Table of 32,W,HATH,Grand Palais,GRP,Grand Palais - Red Piste,FER,/en/paris-2024/results/fencing/women-s-sabre-individual/r32-001500--,2024-07-29
2024-07-29 11:16:00+02:00,2024-07-29 11:27:00+02:00,2024-07-29,FINISHED,Boxing,BOX,Women's 60kg,0,Women's 60kg - Prelims - Round of 16,W,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/women-s-60kg/8fnl000200--,2024-07-29
2024-07-29 11:18:00+02:00,2024-07-29 11:24:00+02:00,2024-07-29,FINISHED,Judo,JUD,Women -57 kg,0,Women -57 kg Elimination Round of 16,W,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 1,JU1,/en/paris-2024/results/judo/women--57-kg/8fnl000200--,2024-07-29
2024-07-29 11:18:00+02:00,2024-07-29 11:24:00+02:00,2024-07-29,FINISHED,Judo,JUD,Men -73 kg,0,Men -73 kg Elimination Round of 32,M,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 2,JU2,/en/paris-2024/results/judo/men--73-kg/r32-001600--,2024-07-29
2024-07-29 11:20:00+02:00,2024-07-29 11:27:00+02:00,2024-07-29,FINISHED,Rowing,ROW,Men's Quadruple Sculls,0,Men's Quad. Sculls Repechages,M,TEAM,Nautical St - Flat water,VN1,Vaires-sur-Marne Nautical Stadium - Flat water,VN1,/en/paris-2024/results/rowing/men-s-quadruple-sculls/rep---------,2024-07-29
2024-07-29 11:24:00+02:00,2024-07-29 11:30:00+02:00,2024-07-29,FINISHED,Judo,JUD,Women -57 kg,0,Women -57 kg Elimination Round of 16,W,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 1,JU1,/en/paris-2024/results/judo/women--57-kg/8fnl000300--,2024-07-29
